"","a","b","c","classificacoes",,,,
"1",0.0953269104459955,0.613745903935045,0.000288117065725666,1,,91,,2015
"2",0.139280338751336,0.865098710973509,0.175756581101663,2,,92,,
"3",0.101189864277389,0.790392659379049,0.145441573122581,1,,93,,
"4",0.112191022298564,0.788214370467763,0.14849252191317,1,,94,,
"5",0.0999349743339896,0.684244737274235,0.0110452877022573,1,,95,,2015
"6",0.0962386545027935,0.746734301847043,0.0737792945140088,1,,91,,2014
"7",0.117751630924536,0.91435693587993,0.167808614287247,2,,92,,
"8",0.0979819720958088,0.820715890511403,0.0415593624911637,1,,93,,
"9",0.115464673877381,0.849072099867084,0.078208454125863,1,,94,,
"10",0.106263939297463,0.727250181221738,0.0784749955167165,1,,95,,2015
"11",0.0962386545027935,0.746734301847043,0.0737792945140088,1,,91,,2013
"12",0.117751630924536,0.91435693587993,0.167808614287247,2,,92,,
"13",0.0979819720958088,0.820715890511403,0.0415593624911637,1,,93,,
"14",0.115464673877381,0.849072099867084,0.078208454125863,1,,94,,
"15",0.106263939297463,0.727250181221738,0.0784749955167165,1,,95,,2013
"16",0.100008943609883,0.701973017140824,0.0184828433923056,1,,91,,2012
"17",0.103244573430673,0.755609587072747,0.432666726778326,2,,92,,
"18",0.0978661395698251,1,0.0946545270586433,2,,93,,
"19",0.121043784329895,0.865301742226657,0.268374275511911,2,,94,,
"20",0.129057537318426,0.948960514844533,0.298310176606899,2,,95,,2012
"21",0.101994138088292,0.59379243264503,8.70768769665712e-05,1,,91,,2011
"22",0.110466171797322,0.750910492895056,0.609059669513157,2,,92,,
"23",0.111986510005467,0.543877414270461,0.0120306607348733,1,,93,,
"24",0.118289090039128,0.619294473502933,0.485036884494689,2,,94,,
"25",0.0982693614418678,0.404288372868296,0.0144359168918989,1,,95,,2011
"26",0.173252306868765,0.811340381147642,1,2,,91,,2010
"27",1,0.636354934122679,0,3,,92,,
"28",0.917677021436623,0.620300782650751,0.131387896014533,3,,93,,
"29",0,0.339853979097777,0.280357225341433,1,,94,,
"30",0.0919841791280319,0,0.00268686143827791,1,,95,,2010
